Microsoft Windows [Version 10.0.15063]
(c) 2017 Microsoft Corporation. All rights reserved.

C:\WINDOWS\system32>cd C:\pyfiles

C:\PYFiles>python ethbtc2.py
--------------------------------------------------
BITCOIN PRICE TRACKER v1.2
Definition of Ratios:
R1 = % spread between Bitstamp(ASK)/Gemini(BID)
R2 = % spread between Bitstamp(ASK)/GDAX(BID)
R3 = % spread between Gemini(ASK)/Bitstamp(BID)
R4 = % spread between Gemini(ASK)/GDAX(BID)
R5 = % spread between GDAX(ASK)/Bitstamp(BID)
R6 = % spread between GDAX(ASK)/Gemini(BID)
--------------------------------------------------
R2 (Time --- Spread): 2017-08-25T10:31:05.725000-07:00 --- 0.1768
R2 (Time --- Spread): 2017-08-25T10:31:07.524000-07:00 --- 0.1635
R2 (Time --- Spread): 2017-08-25T10:31:09.123000-07:00 --- 0.1768
R2 (Time --- Spread): 2017-08-25T10:31:10.862000-07:00 --- 0.1236
R2 (Time --- Spread): 2017-08-25T10:31:14.185000-07:00 --- 0.1236
R2 (Time --- Spread): 2017-08-25T10:31:21.045000-07:00 --- 0.2300
R2 (Time --- Spread): 2017-08-25T10:31:22.829000-07:00 --- 0.1768
R2 (Time --- Spread): 2017-08-25T10:31:24.693000-07:00 --- 0.1501
R2 (Time --- Spread): 2017-08-25T10:31:26.625000-07:00 --- 0.1501
R2 (Time --- Spread): 2017-08-25T10:31:28.188000-07:00 --- 0.1501
R2 (Time --- Spread): 2017-08-25T10:31:29.961000-07:00 --- 0.1368
R2 (Time --- Spread): 2017-08-25T10:31:31.908000-07:00 --- 0.1368
R2 (Time --- Spread): 2017-08-25T10:31:33.845000-07:00 --- 0.2299
R2 (Time --- Spread): 2017-08-25T10:31:35.588000-07:00 --- 0.1501
R2 (Time --- Spread): 2017-08-25T10:31:37.145000-07:00 --- 0.1501
R2 (Time --- Spread): 2017-08-25T10:31:38.946000-07:00 --- 0.2165
R2 (Time --- Spread): 2017-08-25T10:31:40.684000-07:00 --- 0.2165
R2 (Time --- Spread): 2017-08-25T10:31:42.444000-07:00 --- 0.2165
R2 (Time --- Spread): 2017-08-25T10:31:44.028000-07:00 --- 0.2032
R2 (Time --- Spread): 2017-08-25T10:31:46.028000-07:00 --- 0.2431
R2 (Time --- Spread): 2017-08-25T10:31:47.760000-07:00 --- 0.2165
R2 (Time --- Spread): 2017-08-25T10:31:49.529000-07:00 --- 0.1633
R2 (Time --- Spread): 2017-08-25T10:31:51.159000-07:00 --- 0.1500
R2 (Time --- Spread): 2017-08-25T10:31:52.981000-07:00 --- 0.1765
R2 (Time --- Spread): 2017-08-25T10:31:54.744000-07:00 --- 0.1499
R2 (Time --- Spread): 2017-08-25T10:31:56.478000-07:00 --- 0.1898
R2 (Time --- Spread): 2017-08-25T10:31:58.044000-07:00 --- 0.2031
R2 (Time --- Spread): 2017-08-25T10:31:59.863000-07:00 --- 0.1632
R2 (Time --- Spread): 2017-08-25T10:32:01.644000-07:00 --- 0.1632
R2 (Time --- Spread): 2017-08-25T10:32:03.260000-07:00 --- 0.1898
R2 (Time --- Spread): 2017-08-25T10:32:05.027000-07:00 --- 0.2297
R2 (Time --- Spread): 2017-08-25T10:32:06.759000-07:00 --- 0.1764
R2 (Time --- Spread): 2017-08-25T10:32:08.500000-07:00 --- 0.1366
R2 (Time --- Spread): 2017-08-25T10:32:10.114000-07:00 --- 0.1499
R2 (Time --- Spread): 2017-08-25T10:32:11.727000-07:00 --- 0.2163
R2 (Time --- Spread): 2017-08-25T10:32:13.644000-07:00 --- 0.1897
R2 (Time --- Spread): 2017-08-25T10:32:15.228000-07:00 --- 0.1365
R2 (Time --- Spread): 2017-08-25T10:32:16.959000-07:00 --- 0.1232
R2 (Time --- Spread): 2017-08-25T10:32:18.725000-07:00 --- 0.2030
R2 (Time --- Spread): 2017-08-25T10:32:20.459000-07:00 --- 0.2030
R2 (Time --- Spread): 2017-08-25T10:32:23.328000-07:00 --- 0.1365
R2 (Time --- Spread): 2017-08-25T10:32:25.085000-07:00 --- 0.1099
R2 (Time --- Spread): 2017-08-25T10:36:08.118000-07:00 --- 0.1087
R2 (Time --- Spread): 2017-08-25T10:36:09.867000-07:00 --- 0.1087
R2 (Time --- Spread): 2017-08-25T10:36:11.617000-07:00 --- 0.1220
R2 (Time --- Spread): 2017-08-25T10:36:13.233000-07:00 --- 0.1087
R2 (Time --- Spread): 2017-08-25T10:36:15.336000-07:00 --- 0.1220
R2 (Time --- Spread): 2017-08-25T10:36:17.489000-07:00 --- 0.1352
R2 (Time --- Spread): 2017-08-25T10:36:19.050000-07:00 --- 0.1087
R1 (Time --- Spread): 2017-08-25T11:01:43.670000-07:00 --- 0.1730
R1 (Time --- Spread): 2017-08-25T11:01:45.223000-07:00 --- 0.1730
R1 (Time --- Spread): 2017-08-25T11:01:46.901000-07:00 --- 0.1730
R1 (Time --- Spread): 2017-08-25T11:01:48.657000-07:00 --- 0.1730
R1 (Time --- Spread): 2017-08-25T11:01:50.436000-07:00 --- 0.1729
R1 (Time --- Spread): 2017-08-25T11:01:52.012000-07:00 --- 0.1729
R1 (Time --- Spread): 2017-08-25T11:01:53.971000-07:00 --- 0.1729
R1 (Time --- Spread): 2017-08-25T11:01:55.735000-07:00 --- 0.1729
R1 (Time --- Spread): 2017-08-25T11:01:57.492000-07:00 --- 0.1462
R1 (Time --- Spread): 2017-08-25T11:01:59.070000-07:00 --- 0.1196
R1 (Time --- Spread): 2017-08-25T11:02:00.790000-07:00 --- 0.1062
R1 (Time --- Spread): 2017-08-25T11:18:32.265000-07:00 --- 0.1140
R1 (Time --- Spread): 2017-08-25T11:35:37.859000-07:00 --- 0.1043
R1 (Time --- Spread): 2017-08-25T11:35:39.609000-07:00 --- 0.1043
R1 (Time --- Spread): 2017-08-25T12:25:42.132000-07:00 --- 0.1541
R6 (Time --- Spread): 2017-08-25T12:25:42.138000-07:00 --- 0.1409
R1 (Time --- Spread): 2017-08-25T12:33:40.826000-07:00 --- 0.1171
R2 (Time --- Spread): 2017-08-25T12:33:40.827000-07:00 --- 0.1305
R1 (Time --- Spread): 2017-08-25T12:33:42.524000-07:00 --- 0.1305
R2 (Time --- Spread): 2017-08-25T12:33:42.532000-07:00 --- 0.1037
R1 (Time --- Spread): 2017-08-25T12:33:44.105000-07:00 --- 0.1305
R2 (Time --- Spread): 2017-08-25T12:33:44.112000-07:00 --- 0.1037
R1 (Time --- Spread): 2017-08-25T12:33:45.851000-07:00 --- 0.1305
R2 (Time --- Spread): 2017-08-25T12:33:45.851000-07:00 --- 0.1171
R1 (Time --- Spread): 2017-08-25T12:33:47.691000-07:00 --- 0.1305
R2 (Time --- Spread): 2017-08-25T12:33:47.692000-07:00 --- 0.1171
R1 (Time --- Spread): 2017-08-25T12:33:49.352000-07:00 --- 0.1305
R2 (Time --- Spread): 2017-08-25T12:33:49.352000-07:00 --- 0.1171
R1 (Time --- Spread): 2017-08-25T12:33:51.108000-07:00 --- 0.1171
R2 (Time --- Spread): 2017-08-25T12:33:51.120000-07:00 --- 0.1171
R1 (Time --- Spread): 2017-08-25T12:33:52.867000-07:00 --- 0.1037
R1 (Time --- Spread): 2017-08-25T12:34:04.299000-07:00 --- 0.1304
R1 (Time --- Spread): 2017-08-25T12:34:06.035000-07:00 --- 0.1304
R1 (Time --- Spread): 2017-08-25T12:34:07.910000-07:00 --- 0.1304
R2 (Time --- Spread): 2017-08-25T12:34:16.849000-07:00 --- 0.1036
R2 (Time --- Spread): 2017-08-25T12:34:18.666000-07:00 --- 0.1169
R5 (Time --- Spread): 2017-08-25T12:37:53.817000-07:00 --- 0.1911
R1 (Time --- Spread): 2017-08-25T12:37:55.625000-07:00 --- 0.1429
R5 (Time --- Spread): 2017-08-25T12:37:55.625000-07:00 --- 0.1911
R1 (Time --- Spread): 2017-08-25T12:37:57.225000-07:00 --- 0.1429
R5 (Time --- Spread): 2017-08-25T12:37:57.226000-07:00 --- 0.1911
R1 (Time --- Spread): 2017-08-25T12:37:59.040000-07:00 --- 0.1429
R5 (Time --- Spread): 2017-08-25T12:37:59.043000-07:00 --- 0.1911
R1 (Time --- Spread): 2017-08-25T12:38:00.830000-07:00 --- 0.1429
R5 (Time --- Spread): 2017-08-25T12:38:00.831000-07:00 --- 0.1911
R1 (Time --- Spread): 2017-08-25T12:38:02.605000-07:00 --- 0.1429
R5 (Time --- Spread): 2017-08-25T12:38:02.616000-07:00 --- 0.1911
R1 (Time --- Spread): 2017-08-25T12:38:04.228000-07:00 --- 0.1429
R5 (Time --- Spread): 2017-08-25T12:38:04.236000-07:00 --- 0.1911
R1 (Time --- Spread): 2017-08-25T12:38:05.942000-07:00 --- 0.1429
R5 (Time --- Spread): 2017-08-25T12:38:05.958000-07:00 --- 0.1911
R1 (Time --- Spread): 2017-08-25T12:38:07.673000-07:00 --- 0.1429
R5 (Time --- Spread): 2017-08-25T12:38:07.689000-07:00 --- 0.1910
R1 (Time --- Spread): 2017-08-25T12:38:09.310000-07:00 --- 0.1429
R5 (Time --- Spread): 2017-08-25T12:38:09.321000-07:00 --- 0.1910
R1 (Time --- Spread): 2017-08-25T12:38:11.041000-07:00 --- 0.1429
R1 (Time --- Spread): 2017-08-25T12:38:14.041000-07:00 --- 0.1429
R1 (Time --- Spread): 2017-08-25T12:38:15.788000-07:00 --- 0.1429
R1 (Time --- Spread): 2017-08-25T12:38:17.593000-07:00 --- 0.1429
R2 (Time --- Spread): 2017-08-25T12:38:17.602000-07:00 --- 0.1029
